context,ptm_types,cutoff,std_random_fraction,pvalue,variable,value
3D,sm,15,0.006733465369685417,0.05771786705300964,Random sampling,0.44040216005704913
3D,sm,20,0.003072250731880654,0.0008178437319227395,Random sampling,0.5239185241632154
3D,sm,25,0.003709018674693104,0.3474360373872577,Random sampling,0.5143892558816188
3D,sm,30,0.0020832645865330353,0.010951680088558556,Random sampling,0.4939874712947182
3D,sm,35,0.004829639770019865,0.956226603221122,Random sampling,0.4730591645324515
3D,ac,5,0.003988048713841924,3.311145853391475e-07,Random sampling,0.380055829833295
3D,ac,10,0.005037286126157127,0.2761952702436374,Random sampling,0.3594338596445945
3D,ac,15,0.004038025487357051,0.975415678587138,Random sampling,0.4053209180080062
3D,ac,20,0.002817913066095091,0.05078129235018347,Random sampling,0.41081585784719393
3D,ac,25,0.002452575566784004,0.02058263701033571,Random sampling,0.4050972214292794
3D,ac,30,0.0029226235222246286,0.004825147539234838,Random sampling,0.4019095436056749
3D,ac,35,0.0011234788401868457,4.3990177955122843e-05,Random sampling,0.39561436337941813
3D,m,5,0.0033122292560870043,3.416052865123076e-06,Random sampling,0.41794094640187013
3D,m,10,0.008495023950887784,0.2328622357729471,Random sampling,0.4069067496486366
3D,m,15,0.006500033754768158,0.010390198793394232,Random sampling,0.45035705146610355
3D,m,20,0.003913762679483216,0.006327872264889013,Random sampling,0.4568068262560693
3D,m,25,0.003381403820314803,0.02234683847139812,Random sampling,0.4494638821407445
3D,m,30,0.002235874923222204,0.0009778366487864505,Random sampling,0.44295691658276437
3D,m,35,0.0024343652188519,0.001204151965918294,Random sampling,0.43883094488189106
3D,gl,5,0.12903563865899775,0.0265129182029995,Random sampling,0.22135642135642133
3D,gl,10,0.04391770513527847,0.08991674163308241,Random sampling,0.2972529614634878
3D,gl,15,0.04358466888114338,0.8985304782568599,Random sampling,0.29707730900111284
3D,gl,20,0.05505014914417265,0.12518822913560962,Random sampling,0.2805157429469635
3D,gl,25,0.03263901447237445,0.03233132609520322,Random sampling,0.30858931187036365
3D,gl,30,0.016981765064752366,0.3581739246442467,Random sampling,0.3008432028945077
3D,gl,35,0.046329546755744244,0.720812400793399,Random sampling,0.32162315772515276
3D,ga,5,0.05736132479497098,0.06942994395401084,Random sampling,0.3139606433828772
3D,ga,10,0.029903201741620346,0.03730498026930469,Random sampling,0.15998587858675242
3D,ga,15,0.023309271332826693,0.08734734648641529,Random sampling,0.19546070027059234
3D,ga,20,0.01673732610227189,0.9499746667148798,Random sampling,0.19274112217353623
3D,ga,25,0.00978638241076969,0.0013653820492485168,Random sampling,0.17867750438898228
3D,ga,30,0.012865594760646753,0.03484676550465669,Random sampling,0.16139286976632428
3D,ga,35,0.018419087936880185,0.36108062509851585,Random sampling,0.16766571490862284
1D,p,5,0.0,1.0259791575387313e-05,Observed,0.32071081388534595
1D,p,10,0.0,5.600910695834551e-06,Observed,0.30272178801590566
1D,p,15,0.0,0.0007950020270917512,Observed,0.28814218272702025
1D,p,20,0.0,0.06529748073786254,Observed,0.2854191736863217
1D,p,25,0.0,4.426178915243141e-05,Observed,0.29503657041390097
1D,p,30,0.0,0.0002481960774026183,Observed,0.2946528789434719
1D,p,35,0.0,0.00033793620689395563,Observed,0.2885841176335228
1D,sm,5,0.0,9.73815726772509e-07,Observed,0.5751803751803751
1D,sm,10,0.0,0.6867610733295721,Observed,0.44306418219461696
1D,sm,15,0.0,0.03437670131910535,Observed,0.5007830853563039
1D,sm,20,0.0,0.09351185450351615,Observed,0.4485109436670255
1D,sm,25,0.0,0.001021974957184046,Observed,0.41580349215744306
1D,sm,30,0.0,0.0013001692217048957,Observed,0.42340286831812257
1D,sm,35,0.0,5.8215717538315966e-05,Observed,0.380039656311963
1D,ac,5,0.0,2.831209909414816e-06,Observed,0.45342768686421936
1D,ac,10,0.0,0.04536022014077054,Observed,0.42525372588461186
1D,ac,15,0.0,0.07122169202860804,Observed,0.43021806853582556
1D,ac,20,0.0,0.32789895782543926,Observed,0.41859154929577463
1D,ac,25,0.0,0.001840259210087737,Observed,0.4140653031933979
1D,ac,30,0.0,0.9741592989983682,Observed,0.4024713150926743
1D,ac,35,0.0,0.2944537188891653,Observed,0.40146926150277096
1D,m,5,0.0,0.00012905430127805085,Observed,0.4429260450160772
1D,m,10,0.0,0.0006713369460333191,Observed,0.5099215505306876
1D,m,15,0.0,0.47844992003132203,Observed,0.47897486937049016
1D,m,20,0.0,0.06059235618334979,Observed,0.46757965343767466
1D,m,25,0.0,3.915178088783965e-05,Observed,0.47537599528162783
1D,m,30,0.0,0.09032503904847403,Observed,0.4534992223950233
1D,m,35,0.0,0.024787953087268704,Observed,0.46175115207373274
1D,gl,5,0.0,0.22323485544527327,Observed,0.21875
1D,gl,10,0.0,0.006439347487455234,Observed,0.3695652173913043
1D,gl,15,0.0,0.03099623061857762,Observed,0.36585365853658536
1D,gl,20,0.0,0.7614350051871195,Observed,0.2727272727272727
1D,gl,25,0.0,0.23081834111015762,Observed,0.34285714285714286
1D,gl,30,0.0,0.396240392544172,Observed,0.3125
1D,gl,35,0.0,0.3901569817701314,Observed,0.2692307692307692
1D,ga,5,0.0,0.5641358208988172,Observed,0.2037037037037037
1D,ga,10,0.0,0.031047673870088083,Observed,0.1641025641025641
1D,ga,15,0.0,0.13861886453294034,Observed,0.16071428571428573
1D,ga,20,0.0,0.681863566621862,Observed,0.19008264462809918
1D,ga,25,0.0,0.009221071246500321,Observed,0.10948905109489052
1D,ga,30,0.0,0.0020413549607292236,Observed,0.102803738317757
1D,ga,35,0.0,0.5125054875705728,Observed,0.1968503937007874
1D,p,5,0.0023356771028186863,1.0259791575387313e-05,Random sampling,0.28848620055623225
1D,p,10,0.0016470224759143686,5.600910695834551e-06,Random sampling,0.2762707704204006
1D,p,15,0.0014925994451397513,0.0007950020270917512,Random sampling,0.28132054779554483
1D,p,20,0.0026655583508645624,0.06529748073786254,Random sampling,0.28205943474865464
1D,p,25,0.0019082900233294104,4.426178915243141e-05,Random sampling,0.27681140801751836
1D,p,30,0.0013995256720540107,0.0002481960774026183,Random sampling,0.28602127166284963
1D,p,35,0.0019614493891192916,0.00033793620689395563,Random sampling,0.2774055664641367
1D,sm,5,0.0058542086591662395,9.73815726772509e-07,Random sampling,0.42944497878481913
1D,sm,10,0.006643293764804034,0.6867610733295721,Random sampling,0.44162303155990956
1D,sm,15,0.010182067395952092,0.03437670131910535,Random sampling,0.4847252119713101
1D,sm,20,0.006986182254451576,0.09351185450351615,Random sampling,0.44085504849145873
1D,sm,25,0.008900291745772093,0.001021974957184046,Random sampling,0.45390362957348945
1D,sm,30,0.007452475406746891,0.0013001692217048957,Random sampling,0.3934509169205798
1D,sm,35,0.0050245281193833265,5.8215717538315966e-05,Random sampling,0.4248190684500666
1D,ac,5,0.004289908451843327,2.831209909414816e-06,Random sampling,0.37168194769507806
1D,ac,10,0.004950665095468482,0.04536022014077054,Random sampling,0.43236379428219607
1D,ac,15,0.0028969290034540364,0.07122169202860804,Random sampling,0.4266840654871376
1D,ac,20,0.0064483164722146154,0.32789895782543926,Random sampling,0.4150015126534029
1D,ac,25,0.0022418297613780885,0.001840259210087737,Random sampling,0.4058449658315767
1D,ac,30,0.0036170616728203654,0.9741592989983682,Random sampling,0.4024089880695169
1D,ac,35,0.0062218623047427726,0.2944537188891653,Random sampling,0.40521940868202344
1D,m,5,0.004405828449684091,0.00012905430127805085,Random sampling,0.4108291442749339
1D,m,10,0.006390507217663813,0.0006713369460333191,Random sampling,0.47940505755727303
1D,m,15,0.005111531954898608,0.47844992003132203,Random sampling,0.47697886304457404
1D,m,20,0.008125817888213748,0.06059235618334979,Random sampling,0.45705089859541415
1D,m,25,0.00271832366826413,3.915178088783965e-05,Random sampling,0.4485987807998927
1D,m,30,0.007290994966034957,0.09032503904847403,Random sampling,0.4453958079069055
1D,m,35,0.00887683727131748,0.024787953087268704,Random sampling,0.4461953296720062
1D,gl,5,0.05311259314529729,0.22323485544527327,Random sampling,0.25699633699633695
1D,gl,10,0.046985959897085365,0.006439347487455234,Random sampling,0.24699525549332996
1D,gl,15,0.06838599265149044,0.03099623061857762,Random sampling,0.2542857142857143
1D,gl,20,0.06700636816810818,0.7614350051871195,Random sampling,0.28361743519638255
1D,gl,25,0.10357097257939597,0.23081834111015762,Random sampling,0.2697389697389697
1D,gl,30,0.08916800302260017,0.396240392544172,Random sampling,0.27017811969801697
1D,gl,35,0.03763852409440672,0.3901569817701314,Random sampling,0.2511110196832711
1D,ga,5,0.02480869932507285,0.5641358208988172,Random sampling,0.19591503562463672
1D,ga,10,0.011282063387240245,0.031047673870088083,Random sampling,0.1457064220627145
1D,ga,15,0.0344558688666345,0.13861886453294034,Random sampling,0.19251831728299168
1D,ga,20,0.01129217432434625,0.681863566621862,Random sampling,0.18759155769587527
1D,ga,25,0.02450270130305327,0.009221071246500321,Random sampling,0.1672262914615003
1D,ga,30,0.030062403999062962,0.0020413549607292236,Random sampling,0.2100396089388657
1D,ga,35,0.02153474349896153,0.5125054875705728,Random sampling,0.18912033351451457
